┌─────────────┬───────────────────┬───────────────────┬──────────────────────┐
│ fare_amount │   avg_zone_fare   │ avg_borough_fare  │ overall_average_fare │
│   double    │      double       │      double       │        double        │
├─────────────┼───────────────────┼───────────────────┼──────────────────────┤
│        90.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│        60.5 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│         2.5 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│        80.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│        90.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│      123.41 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│      123.46 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│        11.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│       114.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│        90.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│        95.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│        95.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│        80.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│         0.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│        80.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│       95.56 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│       105.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│        96.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│        80.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│       107.0 │ 78.13220705790606 │ 78.13220705790606 │   13.141501256206364 │
│         ·   │         ·         │         ·         │            ·         │
│         ·   │         ·         │         ·         │            ·         │
│         ·   │         ·         │         ·         │            ·         │
│       48.85 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       55.53 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       39.45 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       28.65 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       25.66 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       25.43 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       26.82 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       18.65 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       35.13 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       15.66 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       16.23 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       27.76 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       16.23 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       18.65 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       22.81 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       20.87 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       16.23 │ 27.11149408091532 │ 24.34384060914863 │   13.141501256206364 │
│       62.46 │ 34.67745294855709 │ 24.34384060914863 │   13.141501256206364 │
│        19.5 │ 34.67745294855709 │ 24.34384060914863 │   13.141501256206364 │
│        22.0 │ 20.49117919670449 │ 24.34384060914863 │   13.141501256206364 │
├─────────────┴───────────────────┴───────────────────┴──────────────────────┤
│ 55553400 rows (40 shown)                                         4 columns │
└────────────────────────────────────────────────────────────────────────────┘
